movie_rank,movie_name,the range of fluctuation
1,1987,na 0
2,신과함께-죄와 벌,na 0
3,쥬만지: 새로운 세계,na 0
4,강철비,na 0
5,위대한 쇼맨,na 0
6,페르디난드,na 0
7,원더,na 0
8,코코,up 2
9,너의 이름은.,down 1
10,다운사이징,up 1
11,블레이드 러너 2049,down 2
12,그것만이 내 세상,na 0
13,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",up 4
14,메이즈 러너: 데스 큐어,na 0
15,염력,up 1
16,기억의 밤,down 3
17,더 포리너,up 2
18,찰스 디킨스의 비밀 서재,up 4
19,극장판 포켓몬스터 너로 정했다!,down 4
20,러빙 빈센트,up 1
21,꾼,down 3
22,스타워즈: 라스트 제다이,down 2
23,골든슬럼버,up 8
24,스타박'스 다방,up 3
25,조선명탐정: 흡혈괴마의 비밀,down 2
26,흥부,up 6
27,패터슨,down 2
28,아오 오니,down 4
29,뽀로로 극장판 공룡섬 대모험,down 3
30,22년 후의 고백,na 0
31,어벤져스: 인피니티 워,down 2
32,메이헴,up 12
33,범죄도시,down 1
34,지오스톰,down 6
35,돌아와요 부산항애(愛),down 1
36,반드시 잡는다,up 1
37,원더풀 라이프,up 1
38,모범생,up 10
39,극장판 프리파라 모두의 동경♪ 렛츠고☆프리파리,down 3
40,블랙 팬서,na 0
41,몬스터 패밀리,down 6
42,리틀 포레스트,up 5
43,다키스트 아워,up 8
44,수면의 과학,up 2
45,해피 데스데이,down 6
46,1급기밀,down 1
47,하이큐!! 콘셉트의 싸움,up 10
48,덩케르크,down 5
49,리얼,down 8
50,쥬만지,down 8
